Consumer_Key,Affinity_Key,Affinity_Category,Affinity_Subcategory,Affinity_Value,Affinity_Type,Affinity_Score,Affinity_Last_Modified_Date
1945442ddf47a4be52fb21c9821dea14f23cc62f076c3d8e56a400126f9a747f,7a05c0be21fe0b067e43d7b48246976d943cd6aa121697f60c8694317ba2ebb8,Sports,Other,,Declared,10,2020-04-18T14:18:37
1945442ddf47a4be52fb21c9821dea14f23cc62f076c3d8e56a400126f9a747f,ccec8dfe7d070c70b7c4df68538dae6d18059e075c1620c3653024e55b9f74ea,Music,Music,,Declared,10,2020-04-18T14:18:37
1945442ddf47a4be52fb21c9821dea14f23cc62f076c3d8e56a400126f9a747f,49ac4eca335e448c913a1eb656be4957417dec7578e6b2888a3f45c60f47ec3a,Arts and Culture,Arts and Culture,,Declared,10,2020-04-18T14:18:37
1945442ddf47a4be52fb21c9821dea14f23cc62f076c3d8e56a400126f9a747f,64c225197f49aa5866aa655c3cb998ce626442de53eec4e0574724631f41084a,Food,Gastronomy,,Declared,10,2020-04-18T14:18:37
68ef392d8c4ff9bdd4daad8ebbd90f67c1490bafbb188f1aef1417555f919e9f,a8e52bccfe63f6a5390da25bd4f4df30168b793ee5343aff3c66128ee1bdf2ef,Sports,Other,,Declared,10,2020-04-18T16:15:28
68ef392d8c4ff9bdd4daad8ebbd90f67c1490bafbb188f1aef1417555f919e9f,6eceef3a4bafbc03333945db1bc1042f3ab573a3ce5080cc6bb54feaff88a4b8,Music,Music,,Declared,10,2020-04-18T16:15:28
68ef392d8c4ff9bdd4daad8ebbd90f67c1490bafbb188f1aef1417555f919e9f,29203599f27dac1a5ccad5e24423ee41199bd9ac1e6d340fd517f18604fbfd63,Arts and Culture,Arts and Culture,,Declared,10,2020-04-18T16:15:28
68ef392d8c4ff9bdd4daad8ebbd90f67c1490bafbb188f1aef1417555f919e9f,2c3d78a8aaaa26125b41be76c664dbd683d6756662a97041484a08ddd3dc84ae,Food,Gastronomy,,Declared,10,2020-04-18T16:15:28
5d5c803b94e20ad4f275749df6c156d89ff59228aa3fbdf64982b00fc5ecc0fc,9b744c0d70a0fd5526bc295a997d29d496a9e50761dba429336846074a26ed07,Sports,Other,,Declared,10,2020-04-18T20:39:23
5d5c803b94e20ad4f275749df6c156d89ff59228aa3fbdf64982b00fc5ecc0fc,b6367019850b9e292f325bb167d4373f0094148c7080f0a0033c1e552632906f,Music,Music,,Declared,10,2020-04-18T20:39:23
