Online_Engagement_Type,Platform_Name,Url,Referring_Url,Page_Name,Operating_System,Consumer_Key,Campaign_Key,Online_Engagement_Date,Engagement_Channel,Asset_Key,Brand_Key,Product_Key,Online_Engagement_Key
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,4d3395dc30a481d9ff219dce5847d5b49118bf0108c14a08adcae6b7a53052fb,,2022-12-28T22:48:30,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,5cbec68f584f18b21fda27f469855dee77f2fca1ac84ed78d8d55c1a2af8c86f
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,3f3b025a2667fe05e1b3d54baf498926f047f263bcc1380201264f034c9cbaea,,2022-12-31T14:19:46,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,cba7afaa541b2afb9fc066be7892c3450c631479257a634908f066d4edb94cbc
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,c5f903bddc09f12082d1de70e1f7f91ef163e01feb5fd03a0351236d8e6d0660,,2022-12-14T15:06:17,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,9a924d124b4bbd38279ce1edde763d2cddad30af1bb6996119cddead6ec0d8d4
Online Competition,,https://iframe-heineken00-es.heineken.com/,,,,55c9e83985743e46205d740ecb814e5244b2d1ee3a0af1777458eebe3d459075,,2021-05-13T16:13:48,Online,,HEINEKEN_00,,7d3816e56fc7fd4675f8c2929c77f42fa54dbc7c9bf944738b58db1ce409a09f
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,c63209087db216561e5d620fc60606ec37d9fda030002ef4ddf4b2d92f9def21,,2022-11-05T18:32:22,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,5900391344b07505fe40e889000891547c6e2d5f57531167e613f02a4ade0834
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,1e243703a0c3e6b4338ed722bbe2b3a80846256d73da239e8dfd190b114ac36a,,2022-11-07T18:29:04,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,a2a5e408a06d582c099a0391edfa04c1b7764996c637b794771e4fc268fda51c
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,f060de893d4752cbc44f43e254f14d39dc27cdd74f1295fab1fc9e35d03d5d8e,,2022-11-10T19:37:53,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,f3a0c9e67ccb53bacda99303d46f48a30dd1365d275e881890d523f55204e25c
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,ffd949c5652d83aac7e5ac00312ce1c8deaf10cd5101a6f8215654d9de60f258,,2022-11-08T14:09:11,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,215171298215cd0cc8b50947d8b41b6ca6eff94c694038f414e8365e13e6d977
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,8fc7c7e2b4a7349f68dbb7ca876f41b1363ef0d8a1684da0c9afd841e74f7802,,2022-11-05T18:26:11,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,adfcb15dc5726b9b6d21fb14e9e5194ada57edd5307caf39d78b0686e66aa99f
Online Competition,,https://unmundodecervezas.com/disfrutalo/,,,,6895eb224ca2c5f61cb46582135ca6a25a69b35250b397f9f4667ef62dc5605a,,2022-12-31T11:27:14,Online,,HEINEKEN|HEINEKEN_ORIGINAL,,04c4db2b3e3f1f9082a7ab00b8c437141e26a9ec7f5393479e735dfac0378bff
